Company Name,Industry,Symbol,Index Name
Gland Pharma Ltd.,Healthcare,GLAND,Nifty Smallcap 50
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,Nifty Healthcare
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,Nifty Next 50
Godrej Properties Ltd.,Realty,GODREJPROP,Nifty Midcap 50
Grasim Industries Ltd.,Construction Materials,GRASIM,Nifty 50
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,Nifty Chemicals
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,Chemicals,GNFC,Nifty Chemicals
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,Nifty Oil&Gas
HCL Technologies Ltd.,Information Technology,HCLTECH,Nifty 50
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,Nifty Next 50
HDFC Bank Ltd.,Financial Services,HDFCBANK,Nifty 50
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,Nifty 50
Hathway Cable & Datacom Ltd.,Media Entertainment & Publication,HATHWAY,Nifty Media
Havells India Ltd.,Consumer Durables,HAVELLS,Nifty Midcap 50
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,Nifty Midcap 50
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,Nifty Smallcap 50
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,Nifty 50
Hindustan Aeronautics Ltd.,Capital Goods,HAL,Nifty Next 50
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,Nifty Smallcap 50
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,Nifty Midcap 50
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,Nifty 50
Hindustan Zinc Ltd.,Metals & Mining,HINDZINC,Nifty Next 50
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,Nifty Energy
Hyundai Motor India Ltd.,Automobile and Auto Components,HYUNDAI,Nifty Next 50
ICICI Bank Ltd.,Financial Services,ICICIBANK,Nifty 50
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,Nifty Midcap 50
ICICI Prudential Asset Management Company Ltd.,Financial Services,ICICIAMC,Nifty Capital Markets
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,Nifty Financial Services ex bank
IDFC First Bank Ltd.,Financial Services,IDFCFIRSTB,Nifty Midcap 50
IIFL Finance Ltd.,Financial Services,IIFL,Nifty Smallcap 50
IRCON International Ltd.,Construction,IRCON,Nifty India Railways PSU
ITC Hotels Ltd.,Consumer Services,ITCHOTELS,Nifty India Tourism
ITC Ltd.,Fast Moving Consumer Goods,ITC,Nifty 50
ITI Ltd.,Telecommunication,ITI,Nifty India Railways PSU
India Cements Ltd.,Construction Materials,INDIACEM,Nifty Cement
Indian Bank,Financial Services,INDIANB,Nifty PSU bank
Indian Energy Exchange Ltd.,Financial Services,IEX,Nifty Capital Markets
Indian Hotels Co. Ltd.,Consumer Services,INDHOTEL,Nifty Next 50
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,Nifty Next 50
Indian Overseas Bank,Financial Services,IOB,Nifty PSU bank
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,Nifty India Railways PSU
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,Nifty Next 50
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,Nifty Smallcap 50
Indus Towers Ltd.,Telecommunication,INDUSTOWER,Nifty Midcap 50
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,Nifty Midcap 50
Info Edge (India) Ltd.,Consumer Services,NAUKRI,Nifty Midcap 50
Infosys Ltd.,Information Technology,INFY,Nifty 50
Inox Wind Ltd.,Capital Goods,INOXWIND,Nifty Smallcap 50
InterGlobe Aviation Ltd.,Services,INDIGO,Nifty 50
Ipca Laboratories Ltd.,Healthcare,IPCALAB,Nifty Healthcare
J.B. Chemicals & Pharmaceuticals Ltd.,Healthcare,JBCHEPHARM,Nifty Pharma
J.K. Cement Ltd.,Construction Materials,JKCEMENT,Nifty Cement
JK Lakshmi Cement Ltd.,Construction Materials,JKLAKSHMI,Nifty Cement
JSW Cement Ltd.,Construction Materials,JSWCEMENT,Nifty Cement
JSW Energy Ltd.,Power,JSWENERGY,Nifty Commodities
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,Nifty 50
Jaiprakash Power Ventures Ltd.,Power,JPPOWER,Nifty Energy
Jindal Stainless Ltd.,Metals & Mining,JSL,Nifty Metal
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,Nifty Next 50
Jio Financial Services Ltd.,Financial Services,JIOFIN,Nifty 50
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,Nifty India Tourism
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,Nifty Consumer Durables
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,Nifty Consumer Durables
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,Nifty Smallcap 50
Kaynes Technology India Ltd.,Capital Goods,KAYNES,Nifty Smallcap 50
Kec International Ltd.,Construction,KEC,Nifty Smallcap 50
Kfin Technologies Ltd.,Financial Services,KFINTECH,Nifty Smallcap 50
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,Nifty 50
L&T Finance Ltd.,Financial Services,LTF,Nifty Financial Services ex bank
LG Electronics India Ltd.,Consumer Durables,LGEINDIA,Nifty Consumer Durables
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,Nifty Finance
LTM Ltd.,Information Technology,LTM,Nifty Next 50
Larsen & Toubro Ltd.,Construction,LT,Nifty 50
Laurus Labs Ltd.,Healthcare,LAURUSLABS,Nifty Midcap 50
Leela Palaces Hotels & Resorts Ltd.,Consumer Services,THELEELA,Nifty India Tourism
Lemon Tree Hotels Ltd.,Consumer Services,LEMONTREE,Nifty India Tourism
Life Insurance Corporation of India,Financial Services,LICI,Nifty Financial Services ex bank
Linde India Ltd.,Chemicals,LINDEINDIA,Nifty Chemicals
Lloyds Metals And Energy Ltd.,Metals & Mining,LLOYDSME,Nifty Metal
Lodha Developers Ltd.,Realty,LODHA,Nifty Next 50
Lupin Ltd.,Healthcare,LUPIN,Nifty Midcap 50
MTAR Technologies Ltd.,Capital Goods,MTARTECH,Nifty India Defence
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,Nifty Oil&Gas
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,Nifty 50
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,Nifty Smallcap 50
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,Nifty India Railways PSU
Mankind Pharma Ltd.,Healthcare,MANKIND,Nifty Midcap 50
Marico Ltd.,Fast Moving Consumer Goods,MARICO,Nifty Midcap 50
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,Nifty 50
Max Financial Services Ltd.,Financial Services,MFSL,Nifty Midcap 50
Max Healthcare Institute Ltd.,Healthcare,MAXHEALTH,Nifty 50
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,Nifty Next 50
Mishra Dhatu Nigam Ltd.,Capital Goods,MIDHANI,Nifty India Defence
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,Nifty Capital Markets
MphasiS Ltd.,Information Technology,MPHASIS,Nifty Midcap 50
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,Nifty Midcap 50
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,Nifty Next 50
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,Nifty Smallcap 50
NBCC (India) Ltd.,Construction,NBCC,Nifty Smallcap 50
NHPC Ltd.,Power,NHPC,Nifty Midcap 50
NLC India Ltd.,Power,NLCINDIA,Nifty Energy
NMDC Ltd.,Metals & Mining,NMDC,Nifty Midcap 50
NTPC Green Energy Ltd.,Power,NTPCGREEN,Nifty Energy
NTPC Ltd.,Power,NTPC,Nifty 50
Narayana Hrudayalaya Ltd.,Healthcare,NH,Nifty Smallcap 50
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,Nifty Metal
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,Nifty Smallcap 50
Nazara Technologies Ltd.,Media Entertainment & Publication,NAZARA,Nifty Media
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,Nifty 50
Network18 Media & Investments Ltd.,Media Entertainment & Publication,NETWORK18,Nifty Media
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,Nifty Smallcap 50
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,Nifty Capital Markets
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,Nifty Capital Markets
Nuvoco Vistas Corporation Ltd.,Construction Materials,NUVOCO,Nifty Cement
Oberoi Realty Ltd.,Realty,OBEROIRLTY,Nifty Realty
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,Nifty 50
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,Nifty Midcap 50
One 97 Communications Ltd.,Financial Services,PAYTM,Nifty Midcap 50
Oracle Financial Services Software Ltd.,Information Technology,OFSS,Nifty IT
Orient Cement Ltd.,Construction Materials,ORIENTCEM,Nifty Cement
PB Fintech Ltd.,Financial Services,POLICYBZR,Nifty Midcap 50
PCBL Chemical Ltd.,Chemicals,PCBL,Nifty Chemicals
PG Electroplast Ltd.,Consumer Durables,PGEL,Nifty Smallcap 50
PI Industries Ltd.,Chemicals,PIIND,Nifty Chemicals
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,Nifty Smallcap 50
PVR INOX Ltd.,Media Entertainment & Publication,PVRINOX,Nifty Media
Paras Defence and Space Technologies Ltd.,Capital Goods,PARAS,Nifty India Defence
Patanjali Foods Ltd.,Fast Moving Consumer Goods,PATANJALI,Nifty FMCG
Persistent Systems Ltd.,Information Technology,PERSISTENT,Nifty Midcap 50
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,Nifty Oil&Gas
Phoenix Mills Ltd.,Realty,PHOENIXLTD,Nifty Midcap 50
Pidilite Industries Ltd.,Chemicals,PIDILITIND,Nifty Next 50
Piramal Finance Ltd.,Financial Services,PIRAMALFIN,Nifty Smallcap 50
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,Nifty Smallcap 50
Polycab India Ltd.,Capital Goods,POLYCAB,Nifty Midcap 50
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,Nifty Smallcap 50
Power Finance Corporation Ltd.,Financial Services,PFC,Nifty Next 50
Power Grid Corporation of India Ltd.,Power,POWERGRID,Nifty 50
Prestige Estates Projects Ltd.,Realty,PRESTIGE,Nifty Midcap 50
Prime Focus Ltd,Media Entertainment & Publication,PFOCUS,Nifty Media
Prism Johnson Ltd.,Construction Materials,PRSMJOHNSN,Nifty Cement
Punjab & Sind Bank,Financial Services,PSB,Nifty PSU bank
Punjab National Bank,Financial Services,PNB,Nifty Next 50
RBL Bank Ltd.,Financial Services,RBLBANK,Nifty Smallcap 50
REC Ltd.,Financial Services,RECLTD,Nifty Next 50
RITES Ltd.,Construction,RITES,Nifty India Railways PSU
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,Nifty FMCG
Rail Vikas Nigam Ltd.,Construction,RVNL,Nifty India Railways PSU
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,Nifty India Railways PSU
Redington Ltd.,Services,REDINGTON,Nifty Smallcap 50
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,Nifty 50
Reliance Power Ltd.,Power,RPOWER,Nifty Smallcap 50
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,Nifty Midcap 50
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,Nifty 50
SJVN Ltd.,Power,SJVN,Nifty Energy
SRF Ltd.,Chemicals,SRF,Nifty Midcap 50
Sai Life Sciences Ltd.,Healthcare,SAILIFE,Nifty Smallcap 50
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,Nifty Next 50
Sapphire Foods India Ltd.,Consumer Services,SAPPHIRE,Nifty India Tourism
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,Nifty Media
Shree Cement Ltd.,Construction Materials,SHREECEM,Nifty Next 50
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,Nifty 50
Siemens Energy India Ltd.,Capital Goods,ENRIN,Nifty Next 50
Siemens Ltd.,Capital Goods,SIEMENS,Nifty Next 50
Sobha Ltd.,Realty,SOBHA,Nifty Realty
Solar Industries India Ltd.,Chemicals,SOLARINDS,Nifty Next 50
